[(2592, 3222), (2577, 2372), 'Forward', '31_31_214']
[(2592, 3226), (2577, 2372), 'Forward', '31_31_214']
[(2592, 3230), (2577, 2372), 'Forward', '31_31_214']
[(2592, 3234), (2577, 2372), 'Forward', '31_31_214']
[(2592, 3238), (2577, 2372), 'Forward', '31_31_214']
[(2592, 3242), (2577, 2372), 'Forward', '31_31_214']
[(2592, 3246), (2577, 2372), 'Forward', '31_31_214']
[(2592, 3250), (2577, 2372), 'Forward', '31_31_214']
[(2592, 3254), (2577, 2372), 'Forward', '31_31_214']
[(2592, 3258), (2577, 2372), 'Forward', '31_31_214']
[(2592, 3262), (2577, 2372), 'Forward', '31_31_214']
[(2593, 3266), (2577, 2372), 'Forward', '31_31_214']
[(2593, 3270), (2577, 2372), 'Forward', '31_31_214']
[(2593, 3274), (2577, 2372), 'Forward', '31_31_214']
[(2593, 3278), (2577, 2372), 'Forward', '31_31_214']
[(2593, 3282), (2577, 2372), 'Forward', '31_31_214']
[(2593, 3286), (2577, 2372), 'Forward', '31_31_214']
[(2593, 3290), (2577, 2372), 'Forward', '31_31_214']
[(2593, 3294), (2577, 2372), 'Forward', '31_31_214']
[(2593, 3298), (2577, 2372), 'Forward', '31_31_214']
[(2593, 3302), (2577, 2372), 'Forward', '31_31_214']
[(2593, 3306), (2577, 2372), 'Forward', '31_31_214']
[(2593, 3310), (2577, 2372), 'Forward', '31_31_214']
[(2593, 3314), (2577, 2372), 'Forward', '31_31_214']
[(2593, 3318), (2577, 2372), 'Forward', '31_31_214']
[(2593, 3322), (2577, 2372), 'Forward', '31_31_214']
[(2593, 3326), (2577, 2372), 'Forward', '31_31_214']
[(2733, 2308), (2465, 2100), 'Forward', '187_67_27']
[(2733, 2308), (2702, 2897), 'Turn Right', '187_67_27']
[(2733, 2308), (2737, 2901), 'Turn Right', '187_67_27']
[(2734, 2296), (2465, 2100), 'Forward', '187_67_27']
[(2734, 2296), (2702, 2897), 'Turn Right', '187_67_27']
[(2734, 2296), (2737, 2901), 'Turn Right', '187_67_27']
[(2736, 2305), (2465, 2100), 'Forward', '187_67_27']
[(2736, 2305), (2702, 2897), 'Turn Right', '187_67_27']
[(2736, 2305), (2737, 2901), 'Turn Right', '187_67_27']
[(2739, 2302), (2465, 2100), 'Forward', '187_67_27']
[(2739, 2302), (2702, 2897), 'Turn Right', '187_67_27']
[(2739, 2302), (2737, 2901), 'Turn Right', '187_67_27']
[(2742, 2299), (2465, 2100), 'Forward', '187_67_27']
[(2742, 2299), (2702, 2897), 'Turn Right', '187_67_27']
[(2742, 2299), (2737, 2901), 'Turn Right', '187_67_27']
[(2745, 2295), (2465, 2100), 'Forward', '187_67_27']
[(2745, 2295), (2702, 2897), 'Turn Right', '187_67_27']
[(2745, 2295), (2737, 2901), 'Turn Right', '187_67_27']
[(2748, 2292), (2465, 2100), 'Forward', '187_67_27']
[(2748, 2292), (2702, 2897), 'Turn Right', '187_67_27']
[(2748, 2292), (2737, 2901), 'Turn Right', '187_67_27']
[(2752, 2290), (2465, 2100), 'Forward', '187_67_27']
[(2752, 2290), (2702, 2897), 'Turn Right', '187_67_27']
[(2752, 2290), (2737, 2901), 'Turn Right', '187_67_27']
[(2756, 2287), (2465, 2100), 'Forward', '187_67_27']
[(2756, 2287), (2702, 2897), 'Turn Right', '187_67_27']
[(2756, 2287), (2737, 2901), 'Turn Right', '187_67_27']
[(2817, 2235), (2465, 2100), 'Forward', '187_67_27']
[(2817, 2235), (2702, 2897), 'Turn Right', '187_67_27']
[(2817, 2235), (2737, 2901), 'Turn Right', '187_67_27']
[(2827, 2223), (2465, 2100), 'Forward', '187_67_27']
[(2827, 2223), (2702, 2897), 'Turn Right', '187_67_27']
[(2827, 2223), (2737, 2901), 'Turn Right', '187_67_27']
[(2829, 2220), (2465, 2100), 'Forward', '187_67_27']
[(2829, 2220), (2702, 2897), 'Turn Right', '187_67_27']
[(2829, 2220), (2737, 2901), 'Turn Right', '187_67_27']
[(2832, 2217), (2465, 2100), 'Forward', '187_67_27']
[(2832, 2217), (2702, 2897), 'Turn Right', '187_67_27']
[(2832, 2217), (2737, 2901), 'Turn Right', '187_67_27']
[(2835, 2213), (2465, 2100), 'Forward', '187_67_27']
[(2835, 2213), (2702, 2897), 'Turn Right', '187_67_27']
[(2835, 2213), (2737, 2901), 'Turn Right', '187_67_27']
[(2838, 2210), (2465, 2100), 'Forward', '187_67_27']
[(2838, 2210), (2702, 2897), 'Turn Right', '187_67_27']
[(2838, 2210), (2737, 2901), 'Turn Right', '187_67_27']
[(2841, 2207), (2465, 2100), 'Forward', '187_67_27']
[(2841, 2207), (2702, 2897), 'Turn Right', '187_67_27']
[(2841, 2207), (2737, 2901), 'Turn Right', '187_67_27']
[(2910, 1023), (2734, 659), 'Turn Right', '77_214_144']
[(2913, 1020), (2734, 659), 'Turn Right', '77_214_144']
[(2916, 1018), (2734, 659), 'Turn Right', '77_214_144']
[(2919, 1015), (2734, 659), 'Turn Right', '77_214_144']
[(2922, 1012), (2734, 659), 'Turn Right', '77_214_144']
[(2924, 1009), (2734, 659), 'Turn Right', '77_214_144']
[(2927, 1006), (2734, 659), 'Turn Right', '77_214_144']
[(2930, 1003), (2734, 659), 'Turn Right', '77_214_144']
[(2933, 1001), (2734, 659), 'Turn Right', '77_214_144']
[(2935, 1048), (3711, 624), 'Turn Left', '214_77_173']
[(2936, 998), (2734, 659), 'Turn Right', '77_214_144']
