[(1291, 539), (3873, 1344), 'Forward', '45_45_196']
[(1295, 539), (3873, 1344), 'Forward', '45_45_196']
[(1299, 539), (3873, 1344), 'Forward', '45_45_196']
[(1303, 539), (3873, 1344), 'Forward', '45_45_196']
[(1307, 539), (3873, 1344), 'Forward', '45_45_196']
[(1311, 539), (3873, 1344), 'Forward', '45_45_196']
[(1315, 539), (3873, 1344), 'Forward', '45_45_196']
[(1319, 539), (3873, 1344), 'Forward', '45_45_196']
[(1323, 539), (3873, 1344), 'Forward', '45_45_196']
[(1327, 539), (3873, 1344), 'Forward', '45_45_196']
[(1331, 539), (3873, 1344), 'Forward', '45_45_196']
[(1335, 539), (3873, 1344), 'Forward', '45_45_196']
[(1339, 539), (3873, 1344), 'Forward', '45_45_196']
[(1343, 539), (3873, 1344), 'Forward', '45_45_196']
[(1347, 539), (3873, 1344), 'Forward', '45_45_196']
[(1351, 539), (3873, 1344), 'Forward', '45_45_196']
[(1355, 539), (3873, 1344), 'Forward', '45_45_196']
[(1359, 539), (3873, 1344), 'Forward', '45_45_196']
[(1363, 539), (3873, 1344), 'Forward', '45_45_196']
[(1367, 539), (3873, 1344), 'Forward', '45_45_196']
[(1371, 539), (3873, 1344), 'Forward', '45_45_196']
[(1375, 539), (3873, 1344), 'Forward', '45_45_196']
[(1379, 539), (3873, 1344), 'Forward', '45_45_196']
[(1383, 539), (3873, 1344), 'Forward', '45_45_196']
[(1387, 539), (3873, 1344), 'Forward', '45_45_196']
[(1391, 539), (3873, 1344), 'Forward', '45_45_196']
[(1395, 539), (3873, 1344), 'Forward', '45_45_196']
[(1399, 539), (3873, 1344), 'Forward', '45_45_196']
[(1403, 539), (3873, 1344), 'Forward', '45_45_196']
[(1407, 539), (3873, 1344), 'Forward', '45_45_196']
[(1411, 539), (3873, 1344), 'Forward', '45_45_196']
[(1415, 539), (3873, 1344), 'Forward', '45_45_196']
[(1419, 539), (3873, 1344), 'Forward', '45_45_196']
[(1423, 539), (3873, 1344), 'Forward', '45_45_196']
[(1427, 539), (3873, 1344), 'Forward', '45_45_196']
[(1431, 539), (3873, 1344), 'Forward', '45_45_196']
[(1435, 539), (3873, 1344), 'Forward', '45_45_196']
[(1439, 539), (3873, 1344), 'Forward', '45_45_196']
[(1443, 539), (3873, 1344), 'Forward', '45_45_196']
[(1447, 539), (3873, 1344), 'Forward', '45_45_196']
[(1451, 539), (3873, 1344), 'Forward', '45_45_196']
[(1455, 539), (3873, 1344), 'Forward', '45_45_196']
[(1459, 539), (3873, 1344), 'Forward', '45_45_196']
[(1463, 539), (3873, 1344), 'Forward', '45_45_196']
[(1467, 539), (3873, 1344), 'Forward', '45_45_196']
[(1471, 539), (3873, 1344), 'Forward', '45_45_196']
[(1475, 539), (3873, 1344), 'Forward', '45_45_196']
[(1479, 539), (3873, 1344), 'Forward', '45_45_196']
[(1483, 539), (3873, 1344), 'Forward', '45_45_196']
[(1487, 539), (3873, 1344), 'Forward', '45_45_196']
[(1491, 539), (3873, 1344), 'Forward', '45_45_196']
[(1495, 539), (3873, 1344), 'Forward', '45_45_196']
[(1499, 539), (3873, 1344), 'Forward', '45_45_196']
[(1503, 539), (3873, 1344), 'Forward', '45_45_196']
[(1507, 539), (3873, 1344), 'Forward', '45_45_196']
[(1511, 539), (3873, 1344), 'Forward', '45_45_196']
[(1515, 539), (3873, 1344), 'Forward', '45_45_196']
[(1519, 539), (3873, 1344), 'Forward', '45_45_196']
[(1523, 539), (3873, 1344), 'Forward', '45_45_196']
[(1527, 539), (3873, 1344), 'Forward', '45_45_196']
[(1531, 539), (3873, 1344), 'Forward', '45_45_196']
[(1535, 539), (3873, 1344), 'Forward', '45_45_196']
[(1539, 539), (3873, 1344), 'Forward', '45_45_196']
[(1543, 539), (3873, 1344), 'Forward', '45_45_196']
[(1547, 539), (3873, 1344), 'Forward', '45_45_196']
[(1551, 539), (3873, 1344), 'Forward', '45_45_196']
[(1555, 539), (3873, 1344), 'Forward', '45_45_196']
[(1559, 539), (3873, 1344), 'Forward', '45_45_196']
[(1563, 539), (3873, 1344), 'Forward', '45_45_196']
[(1567, 539), (3873, 1344), 'Forward', '45_45_196']
[(1571, 539), (3873, 1344), 'Forward', '45_45_196']
[(1575, 539), (3873, 1344), 'Forward', '45_45_196']
[(1579, 539), (3873, 1344), 'Forward', '45_45_196']
[(1583, 539), (3873, 1344), 'Forward', '45_45_196']
[(1587, 539), (3873, 1344), 'Forward', '45_45_196']
[(1591, 539), (3873, 1344), 'Forward', '45_45_196']
[(1595, 539), (3873, 1344), 'Forward', '45_45_196']
[(1599, 539), (3873, 1344), 'Forward', '45_45_196']
