[(994, 3660), (642, 3167), 'Turn Left', '87_127_214']
[(994, 3660), (607, 3168), 'Turn Left', '87_127_214']
[(997, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(997, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(998, 3660), (642, 3167), 'Turn Left', '87_127_214']
[(998, 3660), (607, 3168), 'Turn Left', '87_127_214']
[(1001, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(1001, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(1002, 3660), (642, 3167), 'Turn Left', '87_127_214']
[(1002, 3660), (607, 3168), 'Turn Left', '87_127_214']
[(1005, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(1005, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(1006, 3660), (642, 3167), 'Turn Left', '87_127_214']
[(1006, 3660), (607, 3168), 'Turn Left', '87_127_214']
[(1009, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(1009, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(1010, 3660), (642, 3167), 'Turn Left', '87_127_214']
[(1010, 3660), (607, 3168), 'Turn Left', '87_127_214']
[(1013, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(1013, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(1014, 3660), (642, 3167), 'Turn Left', '87_127_214']
[(1014, 3660), (607, 3168), 'Turn Left', '87_127_214']
[(1017, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(1017, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(1018, 3660), (642, 3167), 'Turn Left', '87_127_214']
[(1018, 3660), (607, 3168), 'Turn Left', '87_127_214']
[(1021, 2976), (621, 2360), 'Turn Left', '187_60_96']
[(1021, 2976), (586, 2360), 'Turn Left', '187_60_96']
[(1022, 3660), (642, 3167), 'Turn Left', '87_127_214']
[(1022, 3660), (607, 3168), 'Turn Left', '87_127_214']
[(1025, 2975), (621, 2360), 'Turn Left', '187_60_96']
[(1025, 2975), (586, 2360), 'Turn Left', '187_60_96']
[(1026, 3660), (642, 3167), 'Turn Left', '87_127_214']
[(1026, 3660), (607, 3168), 'Turn Left', '87_127_214']
[(1029, 2975), (621, 2360), 'Turn Left', '187_60_96']
[(1029, 2975), (586, 2360), 'Turn Left', '187_60_96']
[(1030, 3659), (642, 3167), 'Turn Left', '87_127_214']
[(1030, 3659), (607, 3168), 'Turn Left', '87_127_214']
[(1033, 2975), (621, 2360), 'Turn Left', '187_60_96']
[(1033, 2975), (586, 2360), 'Turn Left', '187_60_96']
[(1034, 3659), (642, 3167), 'Turn Left', '87_127_214']
[(1034, 3659), (607, 3168), 'Turn Left', '87_127_214']
[(1037, 2975), (621, 2360), 'Turn Left', '187_60_96']
[(1037, 2975), (586, 2360), 'Turn Left', '187_60_96']
[(1038, 3659), (642, 3167), 'Turn Left', '87_127_214']
[(1038, 3659), (607, 3168), 'Turn Left', '87_127_214']
[(1041, 2975), (621, 2360), 'Turn Left', '187_60_96']
[(1041, 2975), (586, 2360), 'Turn Left', '187_60_96']
[(1042, 3659), (642, 3167), 'Turn Left', '87_127_214']
[(1042, 3659), (607, 3168), 'Turn Left', '87_127_214']
[(1045, 2975), (621, 2360), 'Turn Left', '187_60_96']
[(1045, 2975), (586, 2360), 'Turn Left', '187_60_96']
[(1046, 3659), (642, 3167), 'Turn Left', '87_127_214']
[(1046, 3659), (607, 3168), 'Turn Left', '87_127_214']
[(1049, 2975), (621, 2360), 'Turn Left', '187_60_96']
[(1049, 2975), (586, 2360), 'Turn Left', '187_60_96']
[(1050, 3659), (642, 3167), 'Turn Left', '87_127_214']
[(1050, 3659), (607, 3168), 'Turn Left', '87_127_214']
[(1053, 2975), (621, 2360), 'Turn Left', '187_60_96']
[(1053, 2975), (586, 2360), 'Turn Left', '187_60_96']
[(1054, 3659), (642, 3167), 'Turn Left', '87_127_214']
[(1054, 3659), (607, 3168), 'Turn Left', '87_127_214']
[(1058, 3659), (642, 3167), 'Turn Left', '87_127_214']
[(1058, 3659), (607, 3168), 'Turn Left', '87_127_214']
[(1062, 3659), (642, 3167), 'Turn Left', '87_127_214']
[(1062, 3659), (607, 3168), 'Turn Left', '87_127_214']
[(1263, 1456), (1473, 701), 'Forward', '31_116_132']
[(1263, 1460), (1473, 701), 'Forward', '31_116_132']
[(1263, 1464), (1473, 701), 'Forward', '31_116_132']
[(1263, 1465), (1473, 701), 'Forward', '31_116_132']
[(1264, 1469), (1473, 701), 'Forward', '31_116_132']
[(1264, 1473), (1473, 701), 'Forward', '31_116_132']
[(1264, 1477), (1473, 701), 'Forward', '31_116_132']
[(1264, 1481), (1473, 701), 'Forward', '31_116_132']
[(1264, 1485), (1473, 701), 'Forward', '31_116_132']
[(1264, 1489), (1473, 701), 'Forward', '31_116_132']
[(1264, 1493), (1473, 701), 'Forward', '31_116_132']
[(1264, 1497), (1473, 701), 'Forward', '31_116_132']
[(1281, 2302), (1881, 2094), 'Turn Left', '141_171_82']
[(1282, 2306), (1881, 2094), 'Turn Left', '141_171_82']
[(1282, 2307), (1881, 2094), 'Turn Left', '141_171_82']
[(1282, 2311), (1881, 2094), 'Turn Left', '141_171_82']
[(1282, 2315), (1881, 2094), 'Turn Left', '141_171_82']
[(1282, 2319), (1881, 2094), 'Turn Left', '141_171_82']
[(1282, 2323), (1881, 2094), 'Turn Left', '141_171_82']
[(1282, 2327), (1881, 2094), 'Turn Left', '141_171_82']
[(1282, 2331), (1881, 2094), 'Turn Left', '141_171_82']
[(1282, 2335), (1881, 2094), 'Turn Left', '141_171_82']
[(1282, 2339), (1881, 2094), 'Turn Left', '141_171_82']
[(1282, 2343), (1881, 2094), 'Turn Left', '141_171_82']
[(1282, 2347), (1881, 2094), 'Turn Left', '141_171_82']
[(1282, 2351), (1881, 2094), 'Turn Left', '141_171_82']
[(1283, 2355), (1881, 2094), 'Turn Left', '141_171_82']
[(1283, 2359), (1881, 2094), 'Turn Left', '141_171_82']
[(1283, 2363), (1881, 2094), 'Turn Left', '141_171_82']
[(1283, 2367), (1881, 2094), 'Turn Left', '141_171_82']
[(1283, 2371), (1881, 2094), 'Turn Left', '141_171_82']
[(1283, 2375), (1881, 2094), 'Turn Left', '141_171_82']
[(1283, 2379), (1881, 2094), 'Turn Left', '141_171_82']
[(1283, 2383), (1881, 2094), 'Turn Left', '141_171_82']
[(1283, 2387), (1881, 2094), 'Turn Left', '141_171_82']
[(1283, 2391), (1881, 2094), 'Turn Left', '141_171_82']
[(1283, 2395), (1881, 2094), 'Turn Left', '141_171_82']
[(1283, 2399), (1881, 2094), 'Turn Left', '141_171_82']
[(1284, 2403), (1881, 2094), 'Turn Left', '141_171_82']
[(1284, 2407), (1881, 2094), 'Turn Left', '141_171_82']
[(1284, 2411), (1881, 2094), 'Turn Left', '141_171_82']
[(1284, 2415), (1881, 2094), 'Turn Left', '141_171_82']
[(1284, 2419), (1881, 2094), 'Turn Left', '141_171_82']
[(1284, 2423), (1881, 2094), 'Turn Left', '141_171_82']
[(1284, 2427), (1881, 2094), 'Turn Left', '141_171_82']
[(1284, 2431), (1881, 2094), 'Turn Left', '141_171_82']
[(1284, 2435), (1881, 2094), 'Turn Left', '141_171_82']
[(1284, 2439), (1881, 2094), 'Turn Left', '141_171_82']
[(1284, 2443), (1881, 2094), 'Turn Left', '141_171_82']
[(1285, 2447), (1881, 2094), 'Turn Left', '141_171_82']
[(1285, 2451), (1881, 2094), 'Turn Left', '141_171_82']
[(1285, 2455), (1881, 2094), 'Turn Left', '141_171_82']
[(1285, 2459), (1881, 2094), 'Turn Left', '141_171_82']
[(1285, 2463), (1881, 2094), 'Turn Left', '141_171_82']
[(1285, 2467), (1881, 2094), 'Turn Left', '141_171_82']
[(1285, 2471), (1881, 2094), 'Turn Left', '141_171_82']
[(1285, 2475), (1881, 2094), 'Turn Left', '141_171_82']
[(1285, 2479), (1881, 2094), 'Turn Left', '141_171_82']
[(1285, 2483), (1881, 2094), 'Turn Left', '141_171_82']
[(1285, 2487), (1881, 2094), 'Turn Left', '141_171_82']
[(1285, 2491), (1881, 2094), 'Turn Left', '141_171_82']
[(1286, 2495), (1881, 2094), 'Turn Left', '141_171_82']
[(1286, 2499), (1881, 2094), 'Turn Left', '141_171_82']
[(1286, 2503), (1881, 2094), 'Turn Left', '141_171_82']
[(1286, 2507), (1881, 2094), 'Turn Left', '141_171_82']
[(1286, 2511), (1881, 2094), 'Turn Left', '141_171_82']
[(1286, 2515), (1881, 2094), 'Turn Left', '141_171_82']
[(1286, 2519), (1881, 2094), 'Turn Left', '141_171_82']
[(1286, 2523), (1881, 2094), 'Turn Left', '141_171_82']
[(1286, 2527), (1881, 2094), 'Turn Left', '141_171_82']
[(1286, 2531), (1881, 2094), 'Turn Left', '141_171_82']
[(1286, 2535), (1881, 2094), 'Turn Left', '141_171_82']
[(1286, 2539), (1881, 2094), 'Turn Left', '141_171_82']
[(1287, 2543), (1881, 2094), 'Turn Left', '141_171_82']
[(1287, 2547), (1881, 2094), 'Turn Left', '141_171_82']
[(1287, 2551), (1881, 2094), 'Turn Left', '141_171_82']
[(1287, 2555), (1881, 2094), 'Turn Left', '141_171_82']
[(1287, 2559), (1881, 2094), 'Turn Left', '141_171_82']
[(1287, 2563), (1881, 2094), 'Turn Left', '141_171_82']
[(1291, 1067), (897, 1348), 'Turn Left', '91_183_84']
[(1291, 1067), (901, 1383), 'Turn Left', '91_183_84']
[(1291, 1119), (897, 1348), 'Turn Left', '91_183_84']
[(1291, 1119), (901, 1383), 'Turn Left', '91_183_84']
[(1291, 1120), (897, 1348), 'Turn Left', '91_183_84']
[(1291, 1120), (901, 1383), 'Turn Left', '91_183_84']
[(1291, 1123), (897, 1348), 'Turn Left', '91_183_84']
[(1291, 1123), (901, 1383), 'Turn Left', '91_183_84']
[(1291, 1126), (897, 1348), 'Turn Left', '91_183_84']
[(1291, 1126), (901, 1383), 'Turn Left', '91_183_84']
[(1291, 1127), (897, 1348), 'Turn Left', '91_183_84']
[(1291, 1127), (901, 1383), 'Turn Left', '91_183_84']
[(1291, 1131), (897, 1348), 'Turn Left', '91_183_84']
[(1291, 1131), (901, 1383), 'Turn Left', '91_183_84']
[(1291, 1132), (897, 1348), 'Turn Left', '91_183_84']
[(1291, 1132), (901, 1383), 'Turn Left', '91_183_84']
[(1291, 1135), (897, 1348), 'Turn Left', '91_183_84']
[(1291, 1135), (901, 1383), 'Turn Left', '91_183_84']
[(1291, 1138), (897, 1348), 'Turn Left', '91_183_84']
[(1291, 1138), (901, 1383), 'Turn Left', '91_183_84']
[(1292, 1056), (897, 1348), 'Turn Left', '91_183_84']
[(1292, 1056), (901, 1383), 'Turn Left', '91_183_84']
[(1293, 1044), (897, 1348), 'Turn Left', '91_183_84']
[(1293, 1044), (901, 1383), 'Turn Left', '91_183_84']
[(1294, 1037), (897, 1348), 'Turn Left', '91_183_84']
[(1294, 1037), (901, 1383), 'Turn Left', '91_183_84']
[(1295, 1029), (897, 1348), 'Turn Left', '91_183_84']
[(1295, 1029), (901, 1383), 'Turn Left', '91_183_84']
[(1296, 1025), (897, 1348), 'Turn Left', '91_183_84']
[(1296, 1025), (901, 1383), 'Turn Left', '91_183_84']
[(1297, 1018), (897, 1348), 'Turn Left', '91_183_84']
[(1297, 1018), (901, 1383), 'Turn Left', '91_183_84']
[(1298, 1014), (897, 1348), 'Turn Left', '91_183_84']
[(1298, 1014), (901, 1383), 'Turn Left', '91_183_84']
[(1299, 1007), (897, 1348), 'Turn Left', '91_183_84']
[(1299, 1007), (901, 1383), 'Turn Left', '91_183_84']
[(1300, 1003), (897, 1348), 'Turn Left', '91_183_84']
[(1300, 1003), (901, 1383), 'Turn Left', '91_183_84']
[(1301, 999), (897, 1348), 'Turn Left', '91_183_84']
[(1301, 999), (901, 1383), 'Turn Left', '91_183_84']
[(1302, 995), (897, 1348), 'Turn Left', '91_183_84']
[(1302, 995), (901, 1383), 'Turn Left', '91_183_84']
[(1303, 992), (897, 1348), 'Turn Left', '91_183_84']
[(1303, 992), (901, 1383), 'Turn Left', '91_183_84']
[(1304, 988), (897, 1348), 'Turn Left', '91_183_84']
[(1304, 988), (901, 1383), 'Turn Left', '91_183_84']
[(1305, 984), (897, 1348), 'Turn Left', '91_183_84']
[(1305, 984), (901, 1383), 'Turn Left', '91_183_84']
[(1306, 980), (897, 1348), 'Turn Left', '91_183_84']
[(1306, 980), (901, 1383), 'Turn Left', '91_183_84']
[(1307, 977), (897, 1348), 'Turn Left', '91_183_84']
[(1307, 977), (901, 1383), 'Turn Left', '91_183_84']
[(1308, 973), (897, 1348), 'Turn Left', '91_183_84']
[(1308, 973), (901, 1383), 'Turn Left', '91_183_84']
[(1309, 969), (897, 1348), 'Turn Left', '91_183_84']
[(1309, 969), (901, 1383), 'Turn Left', '91_183_84']
[(1310, 966), (897, 1348), 'Turn Left', '91_183_84']
[(1310, 966), (901, 1383), 'Turn Left', '91_183_84']
